Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
2.156700e+02	1.633351e+02	9.570620e-03	5.950157e+17	3.794505e+18	2.181156e-02
2.166700e+02	1.637397e+02	9.461596e-03	5.882033e+17	3.751093e+18	2.156308e-02
2.176700e+02	1.641442e+02	9.352572e-03	5.813909e+17	3.707682e+18	2.131459e-02
2.186700e+02	1.645488e+02	9.243548e-03	5.745785e+17	3.664270e+18	2.106610e-02
2.196700e+02	1.649534e+02	9.134525e-03	5.677661e+17	3.620858e+18	2.081761e-02
2.206700e+02	1.653579e+02	9.025501e-03	5.609537e+17	3.577446e+18	2.056912e-02
2.216700e+02	1.657625e+02	8.916477e-03	5.541413e+17	3.534034e+18	2.032063e-02
2.226700e+02	1.661671e+02	8.807453e-03	5.473289e+17	3.490622e+18	2.007214e-02
2.236700e+02	1.665717e+02	8.698429e-03	5.405165e+17	3.447210e+18	1.982365e-02
2.246700e+02	1.669762e+02	8.589405e-03	5.337041e+17	3.403798e+18	1.957516e-02
2.256700e+02	1.673808e+02	8.480381e-03	5.268917e+17	3.360386e+18	1.932667e-02
2.266700e+02	1.677854e+02	8.371358e-03	5.200793e+17	3.316974e+18	1.907818e-02
2.276700e+02	1.681900e+02	8.262334e-03	5.132669e+17	3.273563e+18	1.882970e-02
2.286700e+02	1.685945e+02	8.153310e-03	5.064545e+17	3.230151e+18	1.858121e-02
2.296700e+02	1.689991e+02	8.044286e-03	4.996421e+17	3.186739e+18	1.833272e-02
2.306700e+02	1.694037e+02	7.935262e-03	4.928297e+17	3.143327e+18	1.808423e-02
2.316700e+02	1.698082e+02	7.826238e-03	4.860173e+17	3.099915e+18	1.783574e-02
2.326700e+02	1.702128e+02	7.717214e-03	4.792049e+17	3.056503e+18	1.758725e-02
2.336700e+02	1.706174e+02	7.608191e-03	4.723925e+17	3.013091e+18	1.733876e-02
2.346700e+02	1.710220e+02	7.499167e-03	4.655800e+17	2.969679e+18	1.709027e-02
2.356700e+02	1.714265e+02	7.390143e-03	4.587676e+17	2.926267e+18	1.684178e-02
2.366700e+02	1.718311e+02	7.281119e-03	4.519552e+17	2.882855e+18	1.659329e-02
2.376700e+02	1.722357e+02	7.172095e-03	4.451428e+17	2.839443e+18	1.634480e-02
2.386700e+02	1.726402e+02	7.063071e-03	4.383304e+17	2.796032e+18	1.609632e-02
2.396700e+02	1.730448e+02	6.954047e-03	4.315180e+17	2.752620e+18	1.584783e-02
2.406700e+02	1.734494e+02	6.845024e-03	4.247056e+17	2.709208e+18	1.559934e-02
2.416700e+02	1.738540e+02	6.736000e-03	4.178932e+17	2.665796e+18	1.535085e-02
2.426700e+02	1.742585e+02	6.626976e-03	4.110808e+17	2.622384e+18	1.510236e-02
2.436700e+02	1.746631e+02	6.517952e-03	4.042684e+17	2.578972e+18	1.485387e-02
2.446700e+02	1.750677e+02	6.408928e-03	3.974560e+17	2.535560e+18	1.460538e-02
2.456700e+02	1.754723e+02	6.299904e-03	3.906436e+17	2.492148e+18	1.435689e-02
2.466700e+02	1.758768e+02	6.190880e-03	3.838312e+17	2.448736e+18	1.410840e-02
2.476700e+02	1.762814e+02	6.081857e-03	3.770188e+17	2.405324e+18	1.385991e-02
2.486700e+02	1.766860e+02	5.972833e-03	3.702064e+17	2.361913e+18	1.361142e-02
2.496700e+02	1.770905e+02	5.863809e-03	3.633940e+17	2.318501e+18	1.336293e-02
2.506700e+02	1.774951e+02	5.754785e-03	3.565816e+17	2.275089e+18	1.311445e-02
2.516700e+02	1.778997e+02	5.645761e-03	3.497692e+17	2.231677e+18	1.286596e-02
2.526700e+02	1.783043e+02	5.536737e-03	3.429568e+17	2.188265e+18	1.261747e-02
2.536700e+02	1.787088e+02	5.427713e-03	3.361444e+17	2.144853e+18	1.236898e-02
2.546700e+02	1.791134e+02	5.318690e-03	3.293320e+17	2.101441e+18	1.212049e-02
2.556700e+02	1.795180e+02	5.209666e-03	3.225196e+17	2.058029e+18	1.187200e-02
2.566700e+02	1.799226e+02	5.100642e-03	3.157072e+17	2.014617e+18	1.162351e-02
