Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]
3.536700e+02	2.113857e+02	3.976584e-05	1.472005e+15	1.212857e+16
3.546700e+02	2.128025e+02	3.884282e-05	1.425168e+15	1.178880e+16
3.556700e+02	2.144583e+02	3.793651e-05	1.379003e+15	1.145380e+16
3.566700e+02	2.163437e+02	3.704690e-05	1.333523e+15	1.112364e+16
3.576700e+02	2.184487e+02	3.617394e-05	1.288739e+15	1.079840e+16
3.586700e+02	2.207638e+02	3.531760e-05	1.244662e+15	1.047815e+16
3.596700e+02	2.232793e+02	3.447786e-05	1.201305e+15	1.016298e+16
3.606700e+02	2.259854e+02	3.365467e-05	1.158679e+15	9.852949e+15
3.616700e+02	2.288725e+02	3.284801e-05	1.116796e+15	9.548144e+15
3.626700e+02	2.319309e+02	3.205785e-05	1.075668e+15	9.248639e+15
3.636700e+02	2.351508e+02	3.128415e-05	1.035305e+15	8.954509e+15
3.646700e+02	2.385226e+02	3.052687e-05	9.957200e+14	8.665831e+15
3.656700e+02	2.420366e+02	2.978599e-05	9.569246e+14	8.382679e+15
3.666700e+02	2.456831e+02	2.906148e-05	9.189303e+14	8.105132e+15
3.676700e+02	2.494523e+02	2.835330e-05	8.817489e+14	7.833263e+15
3.686700e+02	2.533346e+02	2.766141e-05	8.453919e+14	7.567150e+15
3.696700e+02	2.573204e+02	2.698579e-05	8.098711e+14	7.306869e+15
3.706700e+02	2.613998e+02	2.632641e-05	7.751982e+14	7.052495e+15
3.716700e+02	2.655632e+02	2.568323e-05	7.413847e+14	6.804105e+15
3.726700e+02	2.698009e+02	2.505621e-05	7.084425e+14	6.561774e+15
3.736700e+02	2.741033e+02	2.444534e-05	6.763831e+14	6.325579e+15
3.746700e+02	2.784605e+02	2.385056e-05	6.452183e+14	6.095596e+15
3.756700e+02	2.828630e+02	2.327186e-05	6.149597e+14	5.871900e+15
3.766700e+02	2.873009e+02	2.270920e-05	5.856190e+14	5.654568e+15
3.776700e+02	2.917647e+02	2.216254e-05	5.572079e+14	5.443675e+15
3.786700e+02	2.962446e+02	2.163186e-05	5.297381e+14	5.239299e+15
3.796700e+02	3.007310e+02	2.111712e-05	5.032212e+14	5.041514e+15
3.806700e+02	3.052141e+02	2.061828e-05	4.776689e+14	4.850397e+15
3.816700e+02	3.096842e+02	2.013533e-05	4.530928e+14	4.666024e+15
3.826700e+02	3.141317e+02	1.966821e-05	4.295048e+14	4.488470e+15
3.836700e+02	3.185468e+02	1.921691e-05	4.069164e+14	4.317813e+15
3.846700e+02	3.229198e+02	1.878139e-05	3.853393e+14	4.154128e+15
3.856700e+02	3.272411e+02	1.836161e-05	3.647851e+14	3.997490e+15
3.866700e+02	3.315010e+02	1.795755e-05	3.452657e+14	3.847977e+15
3.876700e+02	3.356897e+02	1.756917e-05	3.267926e+14	3.705664e+15
3.886700e+02	3.397976e+02	1.719643e-05	3.093775e+14	3.570626e+15
3.896700e+02	3.438150e+02	1.683932e-05	2.930321e+14	3.442941e+15
3.906700e+02	3.477321e+02	1.649778e-05	2.777681e+14	3.322684e+15
3.916700e+02	3.515393e+02	1.617180e-05	2.635971e+14	3.209931e+15
3.926700e+02	3.552269e+02	1.586134e-05	2.505309e+14	3.104758e+15
3.936700e+02	3.587851e+02	1.556636e-05	2.385811e+14	3.007242e+15
3.946700e+02	3.622044e+02	1.528684e-05	2.277593e+14	2.917457e+15
3.956700e+02	3.654749e+02	1.502274e-05	2.180773e+14	2.835481e+15
3.966700e+02	3.685870e+02	1.477402e-05	2.095468e+14	2.761390e+15
3.976700e+02	3.715311e+02	1.454067e-05	2.021793e+14	2.695258e+15
3.986700e+02	3.742973e+02	1.432263e-05	1.959867e+14	2.637163e+15
3.996700e+02	3.768760e+02	1.411989e-05	1.909805e+14	2.587181e+15
4.006700e+02	3.792702e+02	1.393151e-05	1.870929e+14	2.544859e+15
4.016700e+02	3.816079e+02	1.374781e-05	1.834809e+14	2.504598e+15
4.026700e+02	3.839253e+02	1.356617e-05	1.799146e+14	2.464870e+15
4.036700e+02	3.862226e+02	1.338658e-05	1.763938e+14	2.425670e+15
4.046700e+02	3.885000e+02	1.320902e-05	1.729181e+14	2.386996e+15
4.056700e+02	3.907578e+02	1.303350e-05	1.694875e+14	2.348843e+15
4.066700e+02	3.929961e+02	1.285999e-05	1.661015e+14	2.311207e+15
4.076700e+02	3.952153e+02	1.268849e-05	1.627602e+14	2.274085e+15
4.086700e+02	3.974155e+02	1.251898e-05	1.594630e+14	2.237472e+15
4.096700e+02	3.995969e+02	1.235145e-05	1.562100e+14	2.201366e+15
4.106700e+02	4.017599e+02	1.218590e-05	1.530007e+14	2.165761e+15
4.116700e+02	4.039045e+02	1.202230e-05	1.498351e+14	2.130655e+15
4.126700e+02	4.060311e+02	1.186066e-05	1.467128e+14	2.096044e+15
4.136700e+02	4.081399e+02	1.170096e-05	1.436335e+14	2.061923e+15
4.146700e+02	4.102310e+02	1.154318e-05	1.405972e+14	2.028289e+15
4.156700e+02	4.123048e+02	1.138732e-05	1.376035e+14	1.995137e+15
4.166700e+02	4.143614e+02	1.123337e-05	1.346522e+14	1.962466e+15
4.176700e+02	4.164012e+02	1.108131e-05	1.317431e+14	1.930269e+15
4.186700e+02	4.184242e+02	1.093114e-05	1.288760e+14	1.898544e+15
4.196700e+02	4.204307e+02	1.078284e-05	1.260505e+14	1.867287e+15
4.206700e+02	4.224210e+02	1.063640e-05	1.232665e+14	1.836494e+15
4.216700e+02	4.243953e+02	1.049182e-05	1.205238e+14	1.806160e+15
4.226700e+02	4.263538e+02	1.034907e-05	1.178221e+14	1.776284e+15
4.236700e+02	4.282968e+02	1.020815e-05	1.151611e+14	1.746859e+15
4.246700e+02	4.302244e+02	1.006905e-05	1.125407e+14	1.717883e+15
4.256700e+02	4.321369e+02	9.931753e-06	1.099605e+14	1.689352e+15
4.266700e+02	4.340346e+02	9.796255e-06	1.074205e+14	1.661263e+15
4.276700e+02	4.359176e+02	9.662542e-06	1.049202e+14	1.633610e+15
4.286700e+02	4.377861e+02	9.530602e-06	1.024596e+14	1.606391e+15
4.296700e+02	4.396405e+02	9.400425e-06	1.000383e+14	1.579601e+15
4.306700e+02	4.414809e+02	9.271999e-06	9.765619e+13	1.553237e+15
4.316700e+02	4.433076e+02	9.145315e-06	9.531296e+13	1.527295e+15
4.326700e+02	4.451207e+02	9.020360e-06	9.300838e+13	1.501771e+15
4.336700e+02	4.469206e+02	8.897123e-06	9.074223e+13	1.476661e+15
4.346700e+02	4.487074e+02	8.775595e-06	8.851428e+13	1.451962e+15
4.356700e+02	4.504814e+02	8.655763e-06	8.632429e+13	1.427669e+15
4.366700e+02	4.522428e+02	8.537616e-06	8.417202e+13	1.403779e+15
4.376700e+02	4.539918e+02	8.421144e-06	8.205725e+13	1.380288e+15
4.386700e+02	4.557286e+02	8.306336e-06	7.997974e+13	1.357193e+15
4.396700e+02	4.574536e+02	8.193180e-06	7.793924e+13	1.334489e+15
4.406700e+02	4.591668e+02	8.081665e-06	7.593554e+13	1.312172e+15
4.416700e+02	4.608686e+02	7.971782e-06	7.396839e+13	1.290239e+15
4.426700e+02	4.625591e+02	7.863517e-06	7.203757e+13	1.268686e+15
4.436700e+02	4.642386e+02	7.756861e-06	7.014283e+13	1.247509e+15
4.446700e+02	4.659074e+02	7.651802e-06	6.828395e+13	1.226704e+15
4.456700e+02	4.675655e+02	7.548330e-06	6.646068e+13	1.206268e+15
4.466700e+02	4.692134e+02	7.446433e-06	6.467280e+13	1.186197e+15
4.476700e+02	4.708511e+02	7.346101e-06	6.292007e+13	1.166486e+15
4.486700e+02	4.724790e+02	7.247321e-06	6.120225e+13	1.147132e+15
4.496700e+02	4.740972e+02	7.150084e-06	5.951912e+13	1.128131e+15
4.506700e+02	4.757060e+02	7.054379e-06	5.787043e+13	1.109480e+15
4.516700e+02	4.773056e+02	6.960193e-06	5.625596e+13	1.091175e+15
4.526700e+02	4.788962e+02	6.867517e-06	5.467547e+13	1.073211e+15
4.536700e+02	4.804781e+02	6.776339e-06	5.312873e+13	1.055585e+15
4.546700e+02	4.820515e+02	6.686648e-06	5.161549e+13	1.038293e+15
4.556700e+02	4.836166e+02	6.598433e-06	5.013554e+13	1.021331e+15
4.566700e+02	4.851737e+02	6.511684e-06	4.868862e+13	1.004696e+15
4.576700e+02	4.867229e+02	6.426388e-06	4.727452e+13	9.883831e+14
4.586700e+02	4.882645e+02	6.342536e-06	4.589299e+13	9.723893e+14
4.596700e+02	4.897987e+02	6.260116e-06	4.454380e+13	9.567105e+14
4.606700e+02	4.913258e+02	6.179116e-06	4.322672e+13	9.413429e+14
4.616700e+02	4.928460e+02	6.099527e-06	4.194151e+13	9.262826e+14
4.626700e+02	4.943594e+02	6.021337e-06	4.068794e+13	9.115259e+14
4.636700e+02	4.958664e+02	5.944535e-06	3.946577e+13	8.970689e+14
4.646700e+02	4.973672e+02	5.869109e-06	3.827478e+13	8.829077e+14
4.656700e+02	4.988620e+02	5.795050e-06	3.711471e+13	8.690387e+14
4.666700e+02	5.003509e+02	5.722345e-06	3.598536e+13	8.554579e+14
4.676700e+02	5.018343e+02	5.650985e-06	3.488646e+13	8.421616e+14
4.686700e+02	5.033124e+02	5.580957e-06	3.381780e+13	8.291459e+14
4.696700e+02	5.047854e+02	5.512251e-06	3.277915e+13	8.164070e+14
