Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
8.730000e+02	8.653088e+02	2.501428e-07	3.513926e+10	2.057360e+13	4.995416e-07
8.740000e+02	8.651935e+02	2.485911e-07	3.470092e+10	2.045366e+13	4.964203e-07
8.750000e+02	8.650809e+02	2.470498e-07	3.426894e+10	2.033440e+13	4.933203e-07
8.760000e+02	8.649712e+02	2.455190e-07	3.384327e+10	2.021582e+13	4.902414e-07
8.770000e+02	8.648646e+02	2.439986e-07	3.342386e+10	2.009790e+13	4.871836e-07
8.780000e+02	8.647610e+02	2.424885e-07	3.301068e+10	1.998061e+13	4.841467e-07
8.790000e+02	8.646607e+02	2.409887e-07	3.260369e+10	1.986395e+13	4.811306e-07
8.800000e+02	8.645637e+02	2.394991e-07	3.220283e+10	1.974788e+13	4.781352e-07
8.810000e+02	8.644702e+02	2.380197e-07	3.180807e+10	1.963241e+13	4.751604e-07
8.820000e+02	8.643802e+02	2.365504e-07	3.141936e+10	1.951750e+13	4.722061e-07
8.830000e+02	8.642940e+02	2.350912e-07	3.103666e+10	1.940315e+13	4.692722e-07
8.840000e+02	8.642115e+02	2.336420e-07	3.065993e+10	1.928932e+13	4.663586e-07
8.850000e+02	8.641330e+02	2.322028e-07	3.028912e+10	1.917602e+13	4.634651e-07
8.860000e+02	8.640584e+02	2.307735e-07	2.992419e+10	1.906321e+13	4.605917e-07
8.870000e+02	8.639881e+02	2.293540e-07	2.956511e+10	1.895088e+13	4.577382e-07
8.880000e+02	8.639219e+02	2.279443e-07	2.921181e+10	1.883902e+13	4.549046e-07
8.890000e+02	8.638601e+02	2.265444e-07	2.886427e+10	1.872760e+13	4.520907e-07
8.900000e+02	8.638028e+02	2.251542e-07	2.852244e+10	1.861661e+13	4.492964e-07
8.910000e+02	8.637501e+02	2.237736e-07	2.818627e+10	1.850603e+13	4.465216e-07
8.920000e+02	8.637021e+02	2.224026e-07	2.785573e+10	1.839584e+13	4.437663e-07
8.930000e+02	8.636589e+02	2.210411e-07	2.753077e+10	1.828603e+13	4.410302e-07
8.940000e+02	8.636207e+02	2.196892e-07	2.721134e+10	1.817658e+13	4.383133e-07
8.950000e+02	8.635875e+02	2.183466e-07	2.689741e+10	1.806747e+13	4.356155e-07
8.960000e+02	8.635594e+02	2.170134e-07	2.658893e+10	1.795868e+13	4.329367e-07
8.970000e+02	8.635366e+02	2.156896e-07	2.628585e+10	1.785020e+13	4.302767e-07
8.980000e+02	8.635192e+02	2.143750e-07	2.598814e+10	1.774200e+13	4.276355e-07
8.990000e+02	8.635073e+02	2.130696e-07	2.569576e+10	1.763408e+13	4.250129e-07
9.000000e+02	8.635010e+02	2.117734e-07	2.540865e+10	1.752641e+13	4.224089e-07
9.010000e+02	8.635003e+02	2.104858e-07	2.512639e+10	1.741898e+13	4.198223e-07
9.020000e+02	8.635039e+02	2.092027e-07	2.484535e+10	1.731183e+13	4.172448e-07
9.030000e+02	8.635114e+02	2.079231e-07	2.456471e+10	1.720498e+13	4.146743e-07
9.040000e+02	8.635229e+02	2.066471e-07	2.428452e+10	1.709842e+13	4.121109e-07
9.050000e+02	8.635383e+02	2.053747e-07	2.400482e+10	1.699218e+13	4.095550e-07
9.060000e+02	8.635575e+02	2.041061e-07	2.372566e+10	1.688624e+13	4.070065e-07
9.070000e+02	8.635806e+02	2.028413e-07	2.344709e+10	1.678063e+13	4.044657e-07
9.080000e+02	8.636076e+02	2.015804e-07	2.316917e+10	1.667534e+13	4.019327e-07
9.090000e+02	8.636384e+02	2.003235e-07	2.289193e+10	1.657037e+13	3.994077e-07
9.100000e+02	8.636731e+02	1.990706e-07	2.261544e+10	1.646574e+13	3.968908e-07
9.110000e+02	8.637115e+02	1.978218e-07	2.233973e+10	1.636145e+13	3.943821e-07
9.120000e+02	8.637537e+02	1.965772e-07	2.206486e+10	1.625750e+13	3.918819e-07
9.130000e+02	8.637996e+02	1.953369e-07	2.179089e+10	1.615390e+13	3.893902e-07
9.140000e+02	8.638492e+02	1.941009e-07	2.151784e+10	1.605066e+13	3.869073e-07
9.150000e+02	8.639026e+02	1.928693e-07	2.124579e+10	1.594777e+13	3.844333e-07
9.160000e+02	8.639596e+02	1.916422e-07	2.097477e+10	1.584525e+13	3.819683e-07
9.170000e+02	8.640203e+02	1.904196e-07	2.070484e+10	1.574311e+13	3.795124e-07
9.180000e+02	8.640847e+02	1.892017e-07	2.043604e+10	1.564134e+13	3.770659e-07
9.190000e+02	8.641527e+02	1.879885e-07	2.016843e+10	1.553995e+13	3.746289e-07
9.200000e+02	8.642243e+02	1.867801e-07	1.990205e+10	1.543895e+13	3.722016e-07
9.210000e+02	8.642994e+02	1.855766e-07	1.963695e+10	1.533834e+13	3.697840e-07
9.220000e+02	8.643781e+02	1.843780e-07	1.937319e+10	1.523812e+13	3.673764e-07
9.230000e+02	8.644604e+02	1.831844e-07	1.911080e+10	1.513832e+13	3.649789e-07
9.240000e+02	8.645462e+02	1.819959e-07	1.884985e+10	1.503891e+13	3.625916e-07
9.250000e+02	8.646355e+02	1.808126e-07	1.859038e+10	1.493993e+13	3.602148e-07
9.260000e+02	8.647283e+02	1.796345e-07	1.833243e+10	1.484136e+13	3.578485e-07
9.270000e+02	8.648245e+02	1.784618e-07	1.807607e+10	1.474322e+13	3.554929e-07
9.280000e+02	8.649242e+02	1.772944e-07	1.782133e+10	1.464550e+13	3.531481e-07
9.290000e+02	8.650272e+02	1.761325e-07	1.756827e+10	1.454823e+13	3.508144e-07
9.300000e+02	8.651337e+02	1.749761e-07	1.731694e+10	1.445139e+13	3.484919e-07
9.310000e+02	8.652436e+02	1.738253e-07	1.706738e+10	1.435500e+13	3.461807e-07
9.320000e+02	8.653568e+02	1.726802e-07	1.681965e+10	1.425906e+13	3.438810e-07
9.330000e+02	8.654734e+02	1.715409e-07	1.657379e+10	1.416357e+13	3.415928e-07
9.340000e+02	8.655932e+02	1.704074e-07	1.632986e+10	1.406855e+13	3.393165e-07
9.350000e+02	8.657164e+02	1.692799e-07	1.608790e+10	1.397400e+13	3.370521e-07
9.360000e+02	8.658428e+02	1.681583e-07	1.584797e+10	1.387992e+13	3.347998e-07
9.370000e+02	8.659725e+02	1.670428e-07	1.561010e+10	1.378631e+13	3.325597e-07
9.380000e+02	8.661054e+02	1.659334e-07	1.537436e+10	1.369319e+13	3.303321e-07
9.390000e+02	8.662416e+02	1.648303e-07	1.514079e+10	1.360056e+13	3.281169e-07
9.400000e+02	8.663809e+02	1.637334e-07	1.490944e+10	1.350842e+13	3.259145e-07
9.410000e+02	8.665234e+02	1.626429e-07	1.468036e+10	1.341678e+13	3.237249e-07
9.420000e+02	8.666691e+02	1.615589e-07	1.445360e+10	1.332565e+13	3.215483e-07
9.430000e+02	8.668179e+02	1.604813e-07	1.422920e+10	1.323503e+13	3.193849e-07
9.440000e+02	8.669698e+02	1.594104e-07	1.400722e+10	1.314492e+13	3.172347e-07
9.450000e+02	8.671247e+02	1.583461e-07	1.378771e+10	1.305533e+13	3.150981e-07
9.460000e+02	8.672828e+02	1.572886e-07	1.357072e+10	1.296627e+13	3.129750e-07
